number,draw_presence_2y,presence_rate_2y,occurrences_2y,occurrence_rate_per_prize,presence_prev_year,presence_rate_prev_year,presence_recent_year,presence_rate_recent_year,presence_rate_delta_recent_minus_prev,occurrences_prev_year,occurrences_recent_year,presence_last_30,presence_rate_last_30,presence_last_90,presence_rate_last_90,presence_last_180,presence_rate_last_180,current_gap_draws,max_gap_draws_2y,longest_presence_streak_2y,special_hits_2y,special_hits_prev_year,special_hits_recent_year
51,174,0.2409972299168975,197,0.010105673540576588,81,0.22437673130193905,93,0.25761772853185594,0.033240997229916885,89,108,4,0.13333333333333333,23,0.25555555555555554,47,0.2611111111111111,4,22,4,10,5,5
52,173,0.23961218836565096,196,0.010054375705345234,76,0.21052631578947367,97,0.26869806094182824,0.05817174515235457,83,113,10,0.3333333333333333,31,0.34444444444444444,56,0.3111111111111111,0,17,5,6,1,5
53,179,0.24792243767313019,210,0.01077254539858418,102,0.28254847645429365,77,0.21329639889196675,-0.0692520775623269,121,89,9,0.3,21,0.23333333333333334,35,0.19444444444444445,0,30,4,6,1,5
54,187,0.2590027700831025,215,0.011029034574740946,93,0.25761772853185594,94,0.26038781163434904,0.002770083102493104,111,104,7,0.23333333333333334,28,0.3111111111111111,49,0.2722222222222222,4,25,5,9,1,8
55,148,0.20498614958448755,170,0.00872063198933005,80,0.22160664819944598,68,0.1883656509695291,-0.033240997229916885,92,78,4,0.13333333333333333,23,0.25555555555555554,43,0.2388888888888889,8,21,4,8,3,5
56,165,0.22853185595567868,189,0.009695290858725761,89,0.24653739612188366,76,0.21052631578947367,-0.03601108033240999,100,89,9,0.3,18,0.2,39,0.21666666666666667,2,17,5,5,5,0
57,181,0.25069252077562326,204,0.010464758387196061,89,0.24653739612188366,92,0.2548476454293629,0.008310249307479228,100,104,8,0.26666666666666666,18,0.2,46,0.25555555555555554,0,18,3,8,5,3
58,193,0.2673130193905817,215,0.011029034574740946,102,0.28254847645429365,91,0.2520775623268698,-0.030470914127423865,118,97,5,0.16666666666666666,20,0.2222222222222222,39,0.21666666666666667,12,14,4,6,6,0
59,152,0.21052631578947367,175,0.008977121165486816,76,0.21052631578947367,76,0.21052631578947367,0.0,89,86,4,0.13333333333333333,17,0.18888888888888888,41,0.22777777777777777,10,22,4,9,4,5
60,187,0.2590027700831025,212,0.010875141069046886,84,0.23268698060941828,103,0.2853185595567867,0.05263157894736842,95,117,8,0.26666666666666666,27,0.3,49,0.2722222222222222,4,20,5,9,5,4
61,181,0.25069252077562326,206,0.010567354057658766,88,0.24376731301939059,93,0.25761772853185594,0.013850415512465353,101,105,11,0.36666666666666664,25,0.2777777777777778,47,0.2611111111111111,1,19,4,5,2,3
62,185,0.2562326869806094,215,0.011029034574740946,87,0.2409972299168975,98,0.27146814404432135,0.030470914127423837,100,115,8,0.26666666666666666,18,0.2,42,0.23333333333333334,2,21,5,10,6,4
