number,draws,occurrences,draws_hit,full_rate,baseline,z_score,p_value_normal,bh_q_value,rate_30,rate_90,rate_365,rate_1095,current_gap_draws
53,7545,2019,1771,0.2347249834327369,0.23765728565289646,-0.5983945891652362,0.5495766752821478,0.9854326545942192,0.2,0.2222222222222222,0.2136986301369863,0.2401826484018265,2
54,7545,2115,1855,0.24585818422796554,0.23765728565289646,1.6735564635446116,0.09421780088241191,0.9309323458464773,0.3,0.3111111111111111,0.26575342465753427,0.24383561643835616,11
55,7545,1981,1767,0.2341948310139165,0.23765728565289646,-0.7065827345323696,0.4798258214992514,0.9854326545942192,0.16666666666666666,0.2111111111111111,0.19726027397260273,0.2091324200913242,4
56,7545,2018,1786,0.23671305500331347,0.23765728565289646,-0.19268904403847303,0.8472025042503193,0.9892136679403001,0.16666666666666666,0.18888888888888888,0.2054794520547945,0.23013698630136986,3
57,7545,2041,1809,0.2397614314115308,0.23765728565289646,0.42939279182255136,0.6676373985773737,0.9854326545942192,0.13333333333333333,0.18888888888888888,0.23835616438356164,0.23470319634703196,1
58,7545,1964,1773,0.23499005964214711,0.23765728565289646,-0.5443005164816667,0.58623469159324,0.9854326545942192,0.13333333333333333,0.18888888888888888,0.2465753424657534,0.2310502283105023,0
59,7545,2113,1843,0.2442677269715043,0.23765728565289646,1.3489920274432055,0.17733952688852025,0.9309323458464773,0.13333333333333333,0.17777777777777778,0.20273972602739726,0.2319634703196347,1
60,7545,1985,1760,0.2332670642809808,0.23765728565289646,-0.8959119889248546,0.370299770522448,0.9744730803222317,0.13333333333333333,0.26666666666666666,0.27945205479452057,0.2401826484018265,7
61,7545,2032,1805,0.2392312789927104,0.23765728565289646,0.3212046464554179,0.7480553112043459,0.9854326545942192,0.3,0.3111111111111111,0.25753424657534246,0.25844748858447486,4
62,7545,2175,1873,0.2482438701126574,0.23765728565289646,2.1604031176967204,0.030741476313788815,0.6148295262757764,0.36666666666666664,0.26666666666666666,0.26301369863013696,0.25753424657534246,4
63,7545,2035,1814,0.24042412193505633,0.23765728565289646,0.5646279735314724,0.5723268342045057,0.9854326545942192,0.23333333333333334,0.25555555555555554,0.23835616438356164,0.2502283105022831,0
64,7545,2106,1851,0.24532803180914514,0.23765728565289646,1.565368318177478,0.11749657258093843,0.9309323458464773,0.43333333333333335,0.28888888888888886,0.26575342465753427,0.2410958904109589,0
65,7545,2024,1781,0.23605036447978794,0.23765728565289646,-0.3279242257473941,0.7429689561494696,0.9854326545942192,0.1,0.2111111111111111,0.2465753424657534,0.2328767123287671,11
66,7545,2075,1851,0.24532803180914514,0.23765728565289646,1.565368318177478,0.11749657258093843,0.9309323458464773,0.16666666666666666,0.17777777777777778,0.2136986301369863,0.24840182648401826,2
67,7545,1994,1777,0.23552021206096752,0.23765728565289646,-0.4361123711145332,0.6627552018523187,0.9854326545942192,0.26666666666666666,0.25555555555555554,0.2191780821917808,0.2310502283105023,1
68,7545,2091,1842,0.2441351888667992,0.23765728565289646,1.3219449911014178,0.18618646916929546,0.9309323458464773,0.3,0.26666666666666666,0.27671232876712326,0.24840182648401826,0
69,7545,1958,1725,0.2286282306163022,0.23765728565289646,-1.8425582608872906,0.06539353276906985,0.8174191596133732,0.3,0.2777777777777778,0.28493150684931506,0.2547945205479452,1
70,7545,2063,1842,0.2441351888667992,0.23765728565289646,1.3219449911014178,0.18618646916929546,0.9309323458464773,0.4,0.2777777777777778,0.2328767123287671,0.22100456621004566,1
71,7545,2024,1787,0.23684559310801856,0.23765728565289646,-0.16564200769669107,0.8684386865565996,0.9892136679403001,0.16666666666666666,0.17777777777777778,0.21095890410958903,0.2136986301369863,3
72,7545,2087,1843,0.2442677269715043,0.23765728565289646,1.3489920274432055,0.17733952688852025,0.9309323458464773,0.26666666666666666,0.2111111111111111,0.2356164383561644,0.2420091324200913,2
